,Year,DayType_i,Hour,Air Temperature (degC),Energy Demand (kWh),Irradiance (W/m2),DUoS export (GBP/kWh),DUoS import (GBP/kWh),Wholesale (GBP/kWh),Misc (GBP/kWh),Export Price (GBP/kWh),Import Price (GBP/kWh),DRH (GBP/MW/hr),DRL (GBP/MW/hr),PV Energy Output (kWh),Grid Import (kWh),Grid Export (kWh),Battery Charging (kWh),Battery Discharging (kWh),Battery SOC,Battery Energy level (kWh)
6466,11,6,10,9.45762,107.52071402637618,392.39186,0.009232839917732053,0.010312542336897122,0.07557533241307667,0.1653865550985818,0.08480817233080871,0.2512744298485556,-2.316,5.183,125.41645278653971,0.0,0.0,17.895738760163525,0.0,0.8000076824059771,263.38175027675453
6467,11,6,11,10.2762,108.1475190849,439.6201,0.009232839917732053,0.010312542336897122,0.0758950657811527,0.1653865550985818,0.08512790569888475,0.25159416321663164,-2.414,5.323,139.5332205786629,0.0,0.0,31.38570149376291,0.0,0.88789934637996,292.31779776892927
6468,11,6,12,10.76784,114.1873244652024,440.82788,0.009232839917732053,0.010312542336897122,0.08064580724106096,0.1653865550985818,0.08987864715879301,0.2563449046765399,-3.084,7.697,139.663732732256,0.0,0.0,25.4764082670536,0.0,0.9592427864849022,315.8057723707393
6469,11,6,13,10.97558,112.7752905892466,400.76108,0.009232839917732053,0.010312542336897122,0.07853907093907952,0.1653865550985818,0.08777191085681157,0.2542381683745585,-3.084,7.697,127.32950061627574,0.0,0.0,14.554210027029143,0.0,1.0,329.2240263051588
6470,11,6,14,10.90032,104.45021324258134,324.05942,0.009232839917732053,0.010312542336897122,0.07630969718084983,0.1653865550985818,0.08554253709858188,0.25200879461632875,-3.084,7.697,103.68506234665607,0.7651508959252737,0.0,0.0,0.0,1.0,329.2240263051588
6471,11,6,15,10.54948,100.72472853734286,228.77338,0.009232839917732053,0.010312542336897122,0.07770980813968557,0.1653865550985818,0.08694264805741762,0.2534089055751645,-3.2590000000000003,7.795,73.89821742959683,26.82651110774603,0.0,0.0,0.0,1.0,329.2240263051588
6472,11,6,16,9.82574,81.73438317871944,124.25106,0.009232839917732053,0.010312542336897122,0.09040132489167776,0.1653865550985818,0.09963416480940981,0.2661004223271567,-4.793,7.76,40.59908985063759,41.13529332808185,0.0,0.0,0.0,1.0,329.2240263051588
6473,11,6,17,8.49704,77.57287451424286,34.7135,0.009232839917732053,0.010312542336897122,0.11056204671708442,0.1653865550985818,0.11979488663481647,0.2862611441525633,-4.793,7.76,11.480606443986705,22.430448625718256,0.0,0.0,43.6618194445379,0.8561522945266641,281.86590553446854
6474,11,6,18,7.34384,81.34797343338433,0.93134,0.009232839917732053,0.010312542336897122,0.1219585703298822,0.1653865550985818,0.13119141024761424,0.2976576677653611,-4.793,7.76,0.31007981262174583,11.810376027419167,0.0,0.0,69.2275175933434,0.628076147263332,206.77775802826602
6475,11,6,19,6.81006,85.91321989920714,0.0,0.009232839917732053,0.010312542336897122,0.11570843997036549,0.1653865550985818,0.12494127988809754,0.2914075374058444,-4.681,7.56,0.0,16.685702305863728,0.0,0.0,69.2275175933434,0.3999999999999999,131.6896105220635
