DayType_i,Hour,Air Temperature (degC),Energy Demand (kWh),Irradiance (W/m2),DUoS export (GBP/kWh),DUoS import (GBP/kWh),Wholesale (GBP/kWh),Misc (GBP/kWh),Export Price (GBP/kWh),Import Price (GBP/kWh),DRH (GBP/MW/hr),DRL (GBP/MW/hr)
5,4,1.8813904761904763,72.66347678703968,0.0,0.00032,0.00035,0.05321999999999998,0.16,0.05353999999999998,0.21356999999999998,-5.3776190476190475,6.906666666666666
5,5,1.8317714285714284,74.92332073405557,0.00046666666666666666,0.00032,0.00035,0.061872380952380956,0.16,0.06219238095238096,0.22222238095238095,-5.3776190476190475,6.906666666666666
5,6,1.8565809523809524,106.39263613916667,6.632028571428572,0.00032,0.00035,0.07248999999999999,0.16,0.07280999999999999,0.23284,-5.3776190476190475,6.906666666666666
5,7,2.4910666666666668,106.0643389395,55.155676190476186,0.00667,0.00745,0.07731285714285714,0.16,0.08398285714285711,0.24476285714285714,-5.3776190476190475,6.906666666666666
5,8,3.540304761904762,106.40594653619738,138.23338095238094,0.00667,0.00745,0.07546142857142854,0.16,0.08213142857142855,0.24291142857142858,-4.204761904761905,5.3533333333333335
5,9,4.491028571428571,112.52411075263493,226.79254285714285,0.00667,0.00745,0.07270857142857141,0.16,0.0793785714285714,0.24015857142857144,-4.204761904761905,5.3533333333333335
5,10,5.2987142857142855,111.00113058319047,296.0041142857143,0.00667,0.00745,0.06518142857142857,0.16,0.07185142857142855,0.23263142857142854,-4.204761904761905,5.3533333333333335
5,11,5.918942857142857,113.02324107115871,337.68260952380956,0.00667,0.00745,0.06218952380952379,0.16,0.06885952380952379,0.2296395238095238,-4.204761904761905,5.3533333333333335
5,12,6.31924761904762,114.76283579419842,347.3817523809524,0.00667,0.00745,0.06082190476190476,0.16,0.06749190476190475,0.22827190476190476,-4.410952380952381,7.7923809523809515
5,13,6.492752380952381,116.13019746929365,318.4752476190476,0.00667,0.00745,0.058159999999999976,0.16,0.06482999999999998,0.22560999999999998,-4.410952380952381,7.7923809523809515
5,14,6.4395428571428575,109.62780531788096,264.6828952380952,0.00667,0.00745,0.057776666666666664,0.16,0.06444666666666665,0.22522666666666666,-4.410952380952381,7.7923809523809515
5,15,6.1800476190476195,109.51044385024603,191.50521904761905,0.00667,0.00745,0.06109904761904762,0.16,0.0677690476190476,0.22854904761904762,-4.410952380952381,7.7923809523809515
5,16,5.634457142857142,102.48998329314286,112.8998380952381,0.00667,0.00745,0.06873333333333334,0.16,0.07540333333333331,0.23618333333333336,-4.868095238095238,6.896190476190476
5,17,4.66167619047619,98.45248672315873,40.13472380952381,0.057429999999999995,0.06809,0.08082333333333332,0.16,0.13825333333333334,0.3089133333333333,-4.868095238095238,6.896190476190476
5,18,3.8418857142857146,100.01308842717665,6.973304761904762,0.057429999999999995,0.06809,0.08934523809523809,0.16,0.1467752380952381,0.31743523809523805,-4.868095238095238,6.896190476190476
5,19,3.414828571428571,106.23647388309523,0.638104761904762,0.057429999999999995,0.06809,0.08073142857142855,0.16,0.13816142857142855,0.3088214285714286,-4.868095238095238,6.896190476190476
5,20,3.1292761904761903,101.75668628798411,0.0,0.00667,0.00745,0.06871380952380951,0.16,0.07538380952380949,0.23616380952380953,-3.8404761904761906,6.351428571428571
5,21,2.901847619047619,94.96309744834127,0.0,0.00667,0.00745,0.06418333333333333,0.16,0.0708533333333333,0.23163333333333333,-3.8404761904761906,6.351428571428571
5,22,2.710542857142857,67.32198225105556,0.0,0.00032,0.00035,0.056802857142857134,0.16,0.057122857142857135,0.21715285714285712,-3.8404761904761906,6.351428571428571
5,23,2.556180952380952,60.94917953433334,0.0,0.00032,0.00035,0.05405238095238094,0.16,0.05437238095238094,0.21440238095238093,-3.8404761904761906,6.351428571428571
6,0,2.81582,63.93228971805238,0.0,0.00032,0.00035,0.04674599999999999,0.16,0.047066,0.207096,-3.0170000000000003,5.382
6,1,2.729765,68.55988921857143,0.0,0.00032,0.00035,0.04485499999999999,0.16,0.045175,0.205205,-3.0170000000000003,5.382
6,2,2.50726,69.35010443041078,0.0,0.00032,0.00035,0.043391,0.16,0.043711,0.203741,-3.2963636363636364,5.479090909090909
6,3,2.36632,74.36105365913333,0.0,0.00032,0.00035,0.042229,0.16,0.042549,0.20257899999999998,-3.009,5.443
6,4,2.27392,72.07312965331667,0.0,0.00032,0.00035,0.040822999999999984,0.16,0.041143,0.201173,-2.674,6.568
6,5,2.16128,75.62764722897381,0.001,0.00032,0.00035,0.04157899999999999,0.16,0.041899,0.20192899999999997,-2.674,6.568
6,6,2.1275,101.51168567219285,5.23556,0.00032,0.00035,0.04620099999999999,0.16,0.046521,0.20655099999999998,-2.674,6.568
6,7,2.75168,97.38357191029762,52.69761999999999,0.00032,0.00035,0.046077999999999994,0.16,0.046398,0.206428,-2.3729999999999998,6.523999999999999
6,8,3.80446,91.20910067430582,134.23354,0.00032,0.00035,0.051266999999999986,0.16,0.05158699999999998,0.211617,-2.316,5.183
6,9,4.70886,97.87502122709523,222.20598,0.0009549999999999999,0.00106,0.05303999999999999,0.16,0.053994999999999994,0.2141,-2.316,5.183
6,10,5.52708,107.52071402637618,297.08662,0.00667,0.00745,0.051765000000000005,0.16,0.058435,0.219215,-2.316,5.183
6,11,6.14818,108.1475190849,341.65422,0.00667,0.00745,0.05198399999999999,0.16,0.05865399999999997,0.219434,-2.414,5.323
6,12,6.543819999999999,114.1873244652024,356.29792000000003,0.00667,0.00745,0.05523799999999999,0.16,0.06190799999999998,0.222688,-3.084,7.697
6,13,6.7226799999999995,112.77529058924661,331.9676,0.00667,0.00745,0.053794999999999996,0.16,0.060465000000000005,0.22124499999999997,-3.084,7.697
6,14,6.6432,104.45021324258134,277.79512,0.00667,0.00745,0.052268,0.16,0.05893799999999999,0.219718,-3.084,7.697
6,15,6.32674,100.72472853734286,207.22704,0.00667,0.00745,0.053226999999999955,0.16,0.05989699999999996,0.22067699999999996,-3.2590000000000003,7.795
6,16,5.800800000000001,81.73438317871944,128.51997999999998,0.00667,0.00745,0.061919999999999996,0.16,0.06858999999999997,0.22937,-4.793,7.76
6,17,4.9408,77.57287451424286,55.61652,0.00667,0.00745,0.07572899999999999,0.16,0.08239899999999993,0.24317899999999998,-4.793,7.76
6,18,4.18762,81.34797343338433,15.39282,0.00667,0.00745,0.08353499999999998,0.16,0.09020499999999997,0.250985,-4.793,7.76
6,19,3.6628,85.91321989920714,2.26182,0.00667,0.00745,0.07925399999999999,0.16,0.08592399999999997,0.24670399999999998,-4.681,7.56
6,20,3.30234,82.21232950169048,0.0,0.00667,0.00745,0.06703299999999998,0.16,0.07370299999999996,0.234483,-4.604,6.43
6,21,3.00246,80.20740859327381,0.0,0.006035,0.00674,0.060685,0.16,0.06671999999999997,0.227425,-4.604,6.43
6,22,2.7524,66.68146624258333,0.0,0.00032,0.00035,0.05620499999999999,0.16,0.056525000000000006,0.216555,-4.604,6.43
6,23,2.59268,64.0158786272381,0.0,0.00032,0.00035,0.050998999999999996,0.16,0.05131899999999999,0.211349,-4.468999999999999,6.409000000000001
7,0,3.7153272727272726,69.37903457156818,0.0,0.00032,0.00035,0.040202272727272725,0.16,0.04052227272727272,0.20055227272727272,-0.3595454545454546,7.588636363636363
7,1,3.4597545454545453,68.10920034442425,0.0,0.00032,0.00035,0.03999363636363635,0.16,0.040313636363636364,0.20034363636363636,-0.3595454545454546,7.588636363636363
7,2,3.222772727272728,72.42331722372214,0.0,0.00032,0.00035,0.03958954545454544,0.16,0.03990954545454545,0.19993954545454545,-0.3595454545454546,7.588636363636363
7,3,3.028054545454545,68.23803529168804,0.0,0.00032,0.00035,0.04002681818181816,0.16,0.04034681818181818,0.20037681818181818,-3.7613636363636362,9.328181818181818
7,4,2.8771,71.1507407024697,0.0,0.00032,0.00035,0.04859136363636363,0.16,0.04891136363636362,0.20894136363636362,-3.7613636363636362,9.328181818181818
7,5,2.7697818181818183,106.09681147873485,0.16473636363636365,0.00032,0.00035,0.07067772727272727,0.16,0.07099772727272727,0.23102772727272727,-3.7613636363636362,9.328181818181818
7,6,2.937672727272727,101.99727297152272,16.49071818181818,0.006669999999999999,0.007449999999999999,0.07979045454545453,0.16,0.0864604545454545,0.24724045454545454,-3.7613636363636362,9.328181818181818
7,7,3.9449181818181818,100.1882267999015,84.45989090909092,0.006669999999999999,0.007449999999999999,0.07668363636363636,0.16,0.08335363636363634,0.24413363636363636,-2.1913636363636364,7.6863636363636365
